Station,Date & Time (Winter),Total clouds cover (code),Total low clouds cover (code),Low clouds base (code),Low clouds type (code),Medium clouds type (code),Hight clouds type (code),Visibility (code)
Bet Dagan Man 01/1964-11/2022,01/09/2013 02:00,3,3,5,5,0,0,60
Bet Dagan Man 01/1964-11/2022,01/09/2013 05:00,1,1,5,5,0,0,60
Bet Dagan Man 01/1964-11/2022,01/09/2013 08:00,1,1,6,1,0,0,60
Bet Dagan Man 01/1964-11/2022,01/09/2013 11:00,5,5,6,1,0,0,70
Bet Dagan Man 01/1964-11/2022,01/09/2013 14:00,2,2,6,1,0,0,70
Bet Dagan Man 01/1964-11/2022,01/09/2013 17:00,0,0,9,0,0,0,75
Bet Dagan Man 01/1964-11/2022,01/09/2013 20:00,0,0,9,0,0,0,60
Bet Dagan Man 01/1964-11/2022,01/09/2013 23:00,1,1,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,02/09/2013 02:00,3,3,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,02/09/2013 05:00,1,1,5,6,0,0,60
Bet Dagan Man 01/1964-11/2022,02/09/2013 08:00,4,4,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,02/09/2013 11:00,2,2,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,02/09/2013 14:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,02/09/2013 17:00,0,0,9,0,0,0,65
Bet Dagan Man 01/1964-11/2022,02/09/2013 20:00,5,5,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,02/09/2013 23:00,5,5,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,03/09/2013 02:00,6,6,5,5,0,0,60
Bet Dagan Man 01/1964-11/2022,03/09/2013 05:00,3,3,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,03/09/2013 08:00,4,4,5,1,0,0,60
Bet Dagan Man 01/1964-11/2022,03/09/2013 11:00,5,5,5,1,0,0,60
